pair,pos_total_detections_ge1,pos_detections_ge1,pos_detections_ge2,pos_detections_ge3,pos_detections_ge4,pos_detections_ge5,pos_solo_only_count,pos_low_consensus_count,pos_high_consensus_count,pos_max_consensus_present,pos_disagreement_level,neg_total_detections_ge1,neg_detections_ge1,neg_detections_ge2,neg_detections_ge3,neg_detections_ge4,neg_detections_ge5,neg_solo_only_count,neg_low_consensus_count,neg_high_consensus_count,neg_max_consensus_present,neg_disagreement_level,all_total_detections_ge1,all_detections_ge1,all_detections_ge2,all_detections_ge3,all_detections_ge4,all_detections_ge5,all_solo_only_count,all_low_consensus_count,all_high_consensus_count,all_max_consensus_present,all_disagreement_level
1,2,2,2,0,0,0,0,2,0,2,4,3,3,2,1,0,0,1,2,0,3,3,5,5,4,1,0,0,1,4,0,3,3
2,2,2,2,2,1,1,0,0,1,5,1,2,2,1,0,0,0,1,2,0,2,4,4,4,3,2,1,1,1,2,1,5,1
3,3,3,1,0,0,0,2,3,0,2,4,2,2,1,1,1,1,1,1,1,5,1,5,5,2,1,1,1,3,4,1,5,1
4,3,3,1,1,0,0,2,2,0,3,3,4,4,3,2,2,1,1,2,2,5,1,7,7,4,3,2,1,3,4,2,5,1
5,1,1,1,0,0,0,0,1,0,2,4,3,3,2,2,1,1,1,1,1,5,1,4,4,3,2,1,1,1,2,1,5,1
6,2,2,1,1,1,0,1,1,1,4,2,1,1,1,0,0,0,0,1,0,2,4,3,3,2,1,1,0,1,2,1,4,2
7,3,3,0,0,0,0,3,3,0,1,5,2,2,1,1,1,0,1,1,1,4,2,5,5,1,1,1,0,4,4,1,4,2
8,2,2,2,2,2,2,0,0,2,5,1,2,2,0,0,0,0,2,2,0,1,5,4,4,2,2,2,2,2,2,2,5,1
9,1,1,1,0,0,0,0,1,0,2,4,2,2,2,2,2,1,0,0,2,5,1,3,3,3,2,2,1,0,1,2,5,1
10,2,2,1,1,1,0,1,1,1,4,2,2,2,1,0,0,0,1,2,0,2,4,4,4,2,1,1,0,2,3,1,4,2
11,1,1,1,1,1,1,0,0,1,5,1,1,1,1,1,0,0,0,0,0,3,3,2,2,2,2,1,1,0,0,1,5,1
12,3,3,0,0,0,0,3,3,0,1,5,2,2,0,0,0,0,2,2,0,1,5,5,5,0,0,0,0,5,5,0,1,5
13,1,1,1,1,1,1,0,0,1,5,1,4,4,1,1,1,1,3,3,1,5,1,5,5,2,2,2,2,3,3,2,5,1
14,2,2,0,0,0,0,2,2,0,1,5,1,1,1,0,0,0,0,1,0,2,4,3,3,1,0,0,0,2,3,0,2,4
15,2,2,2,2,2,2,0,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,0,2,5,1
16,2,2,1,0,0,0,1,2,0,2,4,2,2,1,1,0,0,1,1,0,3,3,4,4,2,1,0,0,2,3,0,3,3
17,2,2,0,0,0,0,2,2,0,1,5,2,2,1,1,0,0,1,1,0,3,3,4,4,1,1,0,0,3,3,0,3,3
18,3,3,3,2,1,0,0,1,1,4,2,2,2,0,0,0,0,2,2,0,1,5,5,5,3,2,1,0,2,3,1,4,2
19,0,0,0,0,0,0,0,0,0,0,0,3,3,2,1,1,0,1,2,1,4,2,3,3,2,1,1,0,1,2,1,4,2
20,1,1,1,1,1,0,0,0,1,4,2,1,1,1,1,1,1,0,0,1,5,1,2,2,2,2,2,1,0,0,2,5,1
21,3,3,2,2,1,0,1,1,1,4,2,1,1,1,1,1,0,0,0,1,4,2,4,4,3,3,2,0,1,1,2,4,2
22,3,3,2,2,2,1,1,1,2,5,1,1,1,1,1,1,0,0,0,1,4,2,4,4,3,3,3,1,1,1,3,5,1
23,1,1,1,1,1,0,0,0,1,4,2,2,2,1,1,1,0,1,1,1,4,2,3,3,2,2,2,0,1,1,2,4,2
24,1,1,1,1,1,0,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,4,2
25,1,1,0,0,0,0,1,1,0,1,5,4,4,2,1,1,0,2,3,1,4,2,5,5,2,1,1,0,3,4,1,4,2
26,1,1,1,1,1,0,0,0,1,4,2,1,1,0,0,0,0,1,1,0,1,5,2,2,1,1,1,0,1,1,1,4,2
27,2,2,1,1,1,0,1,1,1,4,2,1,1,1,0,0,0,0,1,0,2,4,3,3,2,1,1,0,1,2,1,4,2
28,2,2,2,2,2,2,0,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,0,2,5,1
29,2,2,2,2,2,1,0,0,2,5,1,1,1,1,0,0,0,0,1,0,2,4,3,3,3,2,2,1,0,1,2,5,1
30,1,1,1,0,0,0,0,1,0,2,4,1,1,1,1,1,0,0,0,1,4,2,2,2,2,1,1,0,0,1,1,4,2
31,1,1,0,0,0,0,1,1,0,1,5,2,2,2,1,1,1,0,1,1,5,1,3,3,2,1,1,1,1,2,1,5,1
32,3,3,2,2,2,0,1,1,2,4,2,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,2,0,1,1,2,4,2
33,1,1,1,1,0,0,0,0,0,3,3,1,1,1,0,0,0,0,1,0,2,4,2,2,2,1,0,0,0,1,0,3,3
34,2,2,2,1,1,1,0,1,1,5,1,1,1,0,0,0,0,1,1,0,1,5,3,3,2,1,1,1,1,2,1,5,1
35,2,2,0,0,0,0,2,2,0,1,5,2,2,0,0,0,0,2,2,0,1,5,4,4,0,0,0,0,4,4,0,1,5
36,2,2,1,1,1,0,1,1,1,4,2,1,1,1,1,0,0,0,0,0,3,3,3,3,2,2,1,0,1,1,1,4,2
37,4,4,1,0,0,0,3,4,0,2,4,2,2,0,0,0,0,2,2,0,1,5,6,6,1,0,0,0,5,6,0,2,4
38,3,3,1,0,0,0,2,3,0,2,4,1,1,1,0,0,0,0,1,0,2,4,4,4,2,0,0,0,2,4,0,2,4
39,1,1,0,0,0,0,1,1,0,1,5,3,3,3,1,0,0,0,2,0,3,3,4,4,3,1,0,0,1,3,0,3,3
40,2,2,2,2,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,3,3
41,2,2,1,0,0,0,1,2,0,2,4,1,1,1,1,1,0,0,0,1,4,2,3,3,2,1,1,0,1,2,1,4,2
42,1,1,1,1,1,0,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,4,2
43,3,3,2,1,0,0,1,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,3,2,1,0,0,1,2,0,3,3
44,2,2,1,1,1,1,1,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,1,1,1,1,5,1
45,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,1,0,1,1,5,1,2,2,2,1,1,1,0,1,1,5,1
46,2,2,0,0,0,0,2,2,0,1,5,2,2,1,1,0,0,1,1,0,3,3,4,4,1,1,0,0,3,3,0,3,3
47,2,2,2,2,1,1,0,0,1,5,1,1,1,0,0,0,0,1,1,0,1,5,3,3,2,2,1,1,1,1,1,5,1
48,2,2,2,0,0,0,0,2,0,2,4,1,1,1,0,0,0,0,1,0,2,4,3,3,3,0,0,0,0,3,0,2,4
49,1,1,1,1,1,0,0,0,1,4,2,2,2,2,1,1,0,0,1,1,4,2,3,3,3,2,2,0,0,1,2,4,2
50,3,3,1,0,0,0,2,3,0,2,4,2,2,0,0,0,0,2,2,0,1,5,5,5,1,0,0,0,4,5,0,2,4
51,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,1,1,1,1,5,1,2,2,1,1,1,1,1,1,1,5,1
52,2,2,2,1,1,1,0,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,1,0,1,1,5,1
53,2,2,2,2,2,1,0,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,0,0,2,5,1
54,2,2,1,0,0,0,1,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,1,2,0,2,4
55,2,2,1,1,0,0,1,1,0,3,3,1,1,0,0,0,0,1,1,0,1,5,3,3,1,1,0,0,2,2,0,3,3
56,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,5,1,1,1,1,1,1,1,0,0,1,5,1
57,2,2,0,0,0,0,2,2,0,1,5,2,2,0,0,0,0,2,2,0,1,5,4,4,0,0,0,0,4,4,0,1,5
58,1,1,1,1,0,0,0,0,0,3,3,1,1,1,1,0,0,0,0,0,3,3,2,2,2,2,0,0,0,0,0,3,3
