pair_index,pairwise_positive,pairwise_negative,pairwise_all,per_detection_positive,per_detection_negative,per_detection_all
1,0.4452381,0.49829932,0.525,0.50777202,0.42647059,0.47416413
2,0.6122449,0.60884354,0.64105928,0.64197531,0.52380952,0.59027778
3,0.56156463,0.59183673,0.59453353,0.56043956,0.44094488,0.51132686
4,0.58809524,0.64081633,0.64958698,0.60824742,0.55555556,0.58579882
5,0.57040816,0.51496599,0.58948008,0.57458564,0.43055556,0.51076923
6,0.43741497,0.54557823,0.54016035,0.47761194,0.45517241,0.46820809
7,0.47993197,0.51632653,0.55726433,0.5258216,0.48148148,0.50666667
8,0.6037415,0.6452381,0.65347425,0.57647059,0.54814815,0.56393443
9,0.63061224,0.70034014,0.69975705,0.64835165,0.60526316,0.62874251
10,0.63673469,0.70646259,0.69849368,0.63366337,0.64052288,0.63661972
