pair,n_total,t_total,m_components_total,n_vs_t_agree,n_vs_t_disagree,t_vs_n_agree,t_vs_n_disagree,n_vs_m_agree,n_vs_m_disagree,t_vs_m_agree,t_vs_m_disagree,m_vs_n_agree,m_vs_n_disagree,m_vs_t_agree,m_vs_t_disagree,model_pixels
pair_A10_1_2,3,2,2,2,1,2,0,3,0,2,0,2,0,1,1,188929
pair_A10_2_3,2,2,5,2,0,2,0,2,0,2,0,5,0,4,1,171522
pair_A11_1_2,2,4,2,2,0,4,0,2,0,4,0,2,0,2,0,197997
pair_A11_2_3,3,0,2,0,3,0,0,0,3,0,0,0,2,0,2,184900
pair_A12_1_2,1,3,2,1,0,1,2,1,0,2,1,1,1,2,0,243880
pair_A12_2_3,1,2,2,1,0,1,1,1,0,2,0,1,1,2,0,210531
pair_A13_1_2,1,1,1,1,0,1,0,0,1,0,1,0,1,0,1,75339
pair_A13_2_3,1,1,2,1,0,1,0,1,0,1,0,1,1,1,1,108947
pair_A14_1_2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,167277
pair_A15_1_2,2,2,2,2,0,2,0,2,0,2,0,2,0,2,0,256981
pair_A15_2_3,2,0,2,0,2,0,0,2,0,0,0,2,0,0,2,176546
pair_A16_1_2,1,1,2,1,0,1,0,1,0,1,0,1,1,1,1,145202
pair_A17_1_2,2,2,5,2,0,2,0,2,0,2,0,3,2,2,3,111284
pair_A18_1_2,1,2,2,1,0,1,1,1,0,2,0,1,1,2,0,110042
pair_A18_2_3,1,2,2,1,0,1,1,1,0,2,0,1,1,2,0,101736
pair_A19_1_2,2,0,2,0,2,0,0,0,2,0,0,0,2,0,2,75536
pair_A19_2_3,2,0,2,0,2,0,0,2,0,0,0,1,1,0,2,204341
pair_A1_1_2,1,2,2,0,1,0,2,1,0,1,1,1,1,1,1,213533
pair_A1_2_3,2,1,2,1,1,1,0,2,0,1,0,1,1,1,1,194011
pair_A20_1_2,2,1,2,1,1,1,0,1,1,1,0,1,1,1,1,163068
pair_A20_2_3,2,0,2,0,2,0,0,0,2,0,0,0,2,0,2,174838
pair_A2_1_2,1,4,2,1,0,1,3,1,0,4,0,1,1,2,0,140534
pair_A2_2_3,1,4,2,0,1,0,4,1,0,3,1,1,1,2,0,187906
pair_A3_1_2,2,3,2,2,0,2,1,0,2,1,2,0,2,1,1,85818
pair_A3_2_3,3,1,2,3,0,1,0,0,3,0,1,0,2,0,2,85818
pair_A4_1_2,1,1,2,1,0,1,0,1,0,1,0,1,1,1,1,135887
pair_A4_2_3,1,1,2,1,0,1,0,0,1,1,0,0,2,1,1,148826
pair_A5_1_2,3,2,2,1,2,1,1,3,0,2,0,2,0,1,1,201423
pair_A6_1_2,3,1,2,1,2,1,0,1,2,0,1,1,1,0,2,159225
pair_A6_2_3,3,2,2,2,1,2,0,0,3,1,1,0,2,1,1,80549
pair_A7_1_2,3,3,2,1,2,1,2,2,1,3,0,1,1,2,0,183581
pair_A7_2_3,2,3,2,2,0,1,2,2,0,3,0,1,1,2,0,136072
pair_A8_1_2,5,1,2,1,4,1,0,5,0,1,0,2,0,1,1,243764
pair_A8_2_3,2,2,3,2,0,2,0,2,0,2,0,3,0,2,1,176106
pair_A9_1_2,1,2,2,1,0,1,1,0,1,0,2,0,2,0,2,95724
