pair,person,annotation_file,ellipse_index,label,tag,tag_other,total_pixels,overlap_pixels_with_others,overlap_fraction,isolated
61,Avi,Avi\pair 61 avi.json,0,Appearance,,,3533,0,0.000000,1
61,Avi,Avi\pair 61 avi.json,1,Persistence,,,4051,2627,0.648482,0
61,Benny,Benny\pairs5\61.json,0,Persistence,,,6271,2627,0.418912,0
61,Benny,Benny\pairs5\61.json,1,Persistence,,,5693,0,0.000000,1
61,Benny,Benny\pairs5\61.json,2,Persistence,,,4823,0,0.000000,1
61,Sigal,Sigal\SIGAL61.json,0,Disappearance,,,5003,0,0.000000,1
61,Smadar,Smadar\P61 SG.json,0,Disappearance,,,3310,0,0.000000,1
62,Avi,Avi\pair 62 avi.json,0,Appearance,,,5448,3012,0.552863,0
62,Benny,Benny\pairs5\62.json,0,Persistence,,,6397,0,0.000000,1
62,Benny,Benny\pairs5\62.json,1,Persistence,,,6451,1693,0.262440,0
62,Sigal,Sigal\SIGAL62.json,0,Persistence,,,4661,3327,0.713795,0
62,Smadar,Smadar\P62 SG.json,0,Appearance,,,3571,3524,0.986838,0
63,Avi,Avi\pair 63 avi.json,0,Appearance,,,7658,4086,0.533560,0
63,Benny,Benny\pairs5\63.json,0,Persistence,,,8661,0,0.000000,1
63,Sigal,Sigal\SIGAL63.json,0,Appearance,,,5145,3030,0.588921,0
63,Smadar,Smadar\P63 SG.json,0,Persistence,,,4961,1056,0.212860,0
64,Avi,Avi\pair 64 avi.json,0,Appearance,,,4392,4146,0.943989,0
64,Avi,Avi\pair 64 avi.json,1,Appearance,,,19959,5337,0.267398,0
64,Benny,Benny\pairs5\64.json,0,Appearance,,,10453,4364,0.417488,0
64,Sigal,Sigal\SIGAL64.json,0,Appearance,,,18523,15789,0.852400,0
64,Sigal,Sigal\SIGAL64.json,1,Appearance,,,3335,0,0.000000,1
64,Smadar,Smadar\P64 SG.json,0,Appearance,,,18285,17401,0.951654,0
64,Smadar,Smadar\P64 SG.json,1,Appearance,,,4621,3522,0.762173,0
65,Avi,Avi\pair 65 avi.json,0,Persistence,,,7434,1092,0.146893,0
65,Benny,Benny\pairs5\65.json,0,Disappearance,,,91,35,0.384615,0
65,Benny,Benny\pairs5\65.json,1,Disappearance,,,4543,720,0.158486,0
65,Benny,Benny\pairs5\65.json,2,Appearance,,,1136,0,0.000000,1
65,Sigal,Sigal\SIGAL65.json,0,Disappearance,,,3687,372,0.100895,0
66,Avi,Avi\pair 66 avi.json,0,Appearance,,,6179,6175,0.999353,0
66,Benny,Benny\pairs5\66.json,0,Persistence,,,2789,0,0.000000,1
66,Benny,Benny\pairs5\66.json,1,Appearance,,,11693,11693,1.000000,0
66,Sigal,Sigal\SIGAL66.json,0,Appearance,,,30401,18396,0.605112,0
66,Smadar,Smadar\P66 SG.json,0,Appearance,,,27723,16716,0.602965,0
66,Smadar,Smadar\P66 SG.json,1,Appearance,,,3209,0,0.000000,1
67,Avi,Avi\pair 67 avi.json,0,Persistence,,,5581,5581,1.000000,0
67,Benny,Benny\pairs5\67.json,0,Persistence,,,47897,8796,0.183644,0
67,Sigal,Sigal\SIGAL67.json,0,Appearance,,,10407,3594,0.345344,0
67,Smadar,Smadar\P67 SG.json,0,Persistence,,,6411,5412,0.844174,0
67,Smadar,Smadar\P67 SG.json,1,Appearance,,,7345,3594,0.489312,0
68,Avi,Avi\pair 68 avi.json,0,Persistence,,,9840,2029,0.206199,0
68,Benny,Benny\pairs5\68.json,0,Persistence,,,12229,412,0.033690,0
68,Benny,Benny\pairs5\68.json,1,Persistence,,,5955,2029,0.340722,0
68,Smadar,Smadar\P68 SG.json,0,Persistence,,,1903,412,0.216500,0
69,Avi,Avi\pair 69 avi.json,0,Appearance,,,10836,10835,0.999908,0
69,Benny,Benny\pairs5\69.json,0,Appearance,,,7795,7525,0.965362,0
69,Benny,Benny\pairs5\69.json,1,Appearance,,,2132,2132,1.000000,0
69,Sigal,Sigal\SIGAL69.json,0,Appearance,,,27709,22763,0.821502,0
69,Smadar,Smadar\P69 SG.json,0,Appearance,,,21879,21879,1.000000,0
69,Smadar,Smadar\P69 SG.json,1,Appearance,,,2560,0,0.000000,1
70,Avi,Avi\pair 70 avi.json,0,Persistence,,,9360,7278,0.777564,0
70,Avi,Avi\pair 70 avi.json,1,Persistence,,,3667,1991,0.542951,0
70,Benny,Benny\pairs5\70.json,0,Persistence,,,5325,1991,0.373897,0
70,Benny,Benny\pairs5\70.json,1,Persistence,,,1849,0,0.000000,1
70,Benny,Benny\pairs5\70.json,2,Persistence,,,9247,0,0.000000,1
70,Sigal,Sigal\SIGAL70.json,0,Persistence,,,16579,15177,0.915435,0
70,Smadar,Smadar\P70 SG.json,0,Persistence,,,17846,14569,0.816373,0
70,Smadar,Smadar\P70 SG.json,1,Persistence,,,4849,0,0.000000,1
71,Avi,Avi\pair 71 avi.json,0,Disappearance,,,627,609,0.971292,0
71,Avi,Avi\pair 71 avi.json,1,Persistence,,,4472,4059,0.907648,0
71,Benny,Benny\pairs5\71.json,0,Persistence,,,2153,2110,0.980028,0
71,Benny,Benny\pairs5\71.json,1,Disappearance,,,1243,833,0.670153,0
71,Sigal,Sigal\SIGAL71.json,0,Disappearance,,,4397,3265,0.742552,0
71,Sigal,Sigal\SIGAL71.json,1,Appearance,,,5587,4252,0.761052,0
71,Smadar,Smadar\P71 SG.json,0,Persistence,,,3223,2690,0.834626,0
72,Avi,Avi\pair 72 avi.json,0,Persistence,,,5396,5395,0.999815,0
72,Benny,Benny\pairs5\72.json,0,Persistence,,,15733,0,0.000000,1
72,Benny,Benny\pairs5\72.json,1,Persistence,,,16267,11342,0.697240,0
72,Sigal,Sigal\SIGAL72.json,0,Disappearance,,,7607,0,0.000000,1
72,Smadar,Smadar\P72 SG.json,0,Persistence,,,12007,5947,0.495294,0
73,Avi,Avi\pair 73 avi.json,0,Persistence,,,9947,2284,0.229617,0
73,Benny,Benny\pairs5\73.json,0,Persistence,,,9114,0,0.000000,1
73,Benny,Benny\pairs5\73.json,1,Disappearance,,,3649,2284,0.625925,0
73,Sigal,Sigal\SIGAL73.json,0,Disappearance,,,1,0,0.000000,1
73,Sigal,Sigal\SIGAL73.json,1,Disappearance,,,8433,0,0.000000,1
74,Avi,Avi\pair 74 avi.json,0,Persistence,,,4252,4252,1.000000,0
74,Avi,Avi\pair 74 avi.json,1,Appearance,,,7270,4450,0.612105,0
74,Benny,Benny\pairs5\74.json,0,Persistence,,,12697,8038,0.633063,0
74,Sigal,Sigal\SIGAL74.json,0,Persistence,,,7733,6743,0.871977,0
74,Smadar,Smadar\P74 SG.json,0,Appearance,,,9923,4450,0.448453,0
74,Smadar,Smadar\P74 SG.json,1,Appearance,,,8439,4330,0.513094,0
75,Benny,Benny\pairs5\75.json,0,Persistence,,,8785,1102,0.125441,0
75,Benny,Benny\pairs5\75.json,1,Disappearance,,,9013,725,0.080439,0
75,Sigal,Sigal\SIGAL75.json,0,Disappearance,,,6927,5522,0.797170,0
75,Smadar,Smadar\P75 SG.json,0,Disappearance,,,12873,7252,0.563350,0
76,Avi,Avi\pair 76 avi.json,0,Disappearance,,,15949,8467,0.530880,0
76,Avi,Avi\pair 76 avi.json,1,Persistence,,,19278,10591,0.549383,0
76,Benny,Benny\pairs6\76.json,0,Persistence,,,11387,8911,0.782559,0
76,Benny,Benny\pairs6\76.json,1,Persistence,,,6571,292,0.044438,0
76,Benny,Benny\pairs6\76.json,2,Appearance,,,2277,0,0.000000,1
76,Benny,Benny\pairs6\76.json,3,Appearance,,,1249,1249,1.000000,0
76,Benny,Benny\pairs6\76.json,4,Persistence,,,24343,16297,0.669474,0
76,Benny,Benny\pairs6\76.json,5,Persistence,,,6941,0,0.000000,1
76,Sigal,Sigal\SIGAL76.json,0,Appearance,,,5329,5197,0.975230,0
76,Sigal,Sigal\SIGAL76.json,1,Persistence,,,14905,13775,0.924187,0
76,Smadar,Smadar\P76 SG.json,0,Persistence,,,5507,0,0.000000,1
77,Avi,Avi\pair 77 avi.json,0,Persistence,,,7889,7438,0.942832,0
77,Benny,Benny\pairs6\77.json,0,Disappearance,,,6162,4873,0.790815,0
77,Sigal,Sigal\SIGAL77.json,0,Persistence,,,10283,6883,0.669357,0
77,Smadar,Smadar\P77 SG.json,0,Appearance,,,2089,2089,1.000000,0
77,Smadar,Smadar\P77 SG.json,1,Appearance,,,3625,0,0.000000,1
77,Smadar,Smadar\P77 SG.json,2,Appearance,,,1491,0,0.000000,1
78,Avi,Avi\pair 78 avi.json,0,Disappearance,,,5120,0,0.000000,1
78,Avi,Avi\pair 78 avi.json,1,Persistence,,,6468,2891,0.446970,0
78,Benny,Benny\pairs6\78.json,0,Persistence,,,5674,2444,0.430737,0
78,Benny,Benny\pairs6\78.json,1,Disappearance,,,8299,0,0.000000,1
78,Smadar,Smadar\P78 SG.json,0,Appearance,,,9757,447,0.045813,0
79,Avi,Avi\pair 79 avi.json,0,Persistence,,,10157,840,0.082702,0
79,Benny,Benny\pairs6\79.json,0,Persistence,,,25929,10713,0.413167,0
79,Sigal,Sigal\SIGAL79.json,0,Persistence,,,15169,10899,0.718505,0
79,Smadar,Smadar\P79 SG.json,0,Appearance,,,5423,3099,0.571455,0
79,Smadar,Smadar\P79 SG.json,1,Appearance,,,3209,3209,1.000000,0
79,Smadar,Smadar\P79 SG.json,2,Appearance,,,1017,840,0.825959,0
80,Benny,Benny\pairs6\80.json,0,Appearance,,,24251,23592,0.972826,0
80,Sigal,Sigal\SIGAL80.json,0,Appearance,,,48055,23371,0.486339,0
80,Smadar,Smadar\P80 SG.json,0,Persistence,,,18437,18361,0.995878,0
81,Avi,Avi\pair 81 avi.json,0,Appearance,,,20713,10132,0.489161,0
81,Avi,Avi\pair 81 avi.json,1,Disappearance,,,2917,2917,1.000000,0
81,Benny,Benny\pairs6\81.json,0,Appearance,,,3689,0,0.000000,1
81,Benny,Benny\pairs6\81.json,1,Appearance,,,15537,12517,0.805625,0
81,Sigal,Sigal\SIGAL81.json,0,Disappearance,,,21051,9657,0.458743,0
81,Sigal,Sigal\SIGAL81.json,1,Appearance,,,19221,16424,0.854482,0
81,Smadar,Smadar\P81 SG.json,0,Disappearance,,,12531,8423,0.672173,0
81,Smadar,Smadar\P81 SG.json,1,Appearance,,,9233,9233,1.000000,0
82,Avi,Avi\pair 82 avi.json,0,Appearance,,,11817,10504,0.888889,0
82,Benny,Benny\pairs6\82.json,0,Disappearance,,,7657,3555,0.464281,0
82,Benny,Benny\pairs6\82.json,1,Appearance,,,6089,0,0.000000,1
82,Benny,Benny\pairs6\82.json,2,Persistence,,,3539,0,0.000000,1
82,Benny,Benny\pairs6\82.json,3,Persistence,,,18661,9882,0.529554,0
82,Sigal,Sigal\SIGAL82.json,0,Disappearance,,,9761,5410,0.554246,0
82,Smadar,Smadar\P82 SG.json,0,Persistence,,,8813,6300,0.714853,0
82,Smadar,Smadar\P82 SG.json,1,Appearance,,,2541,694,0.273121,0
83,Avi,Avi\pair 83 avi.json,0,Disappearance,,,7073,6924,0.978934,0
83,Benny,Benny\pairs6\83.json,0,Disappearance,,,20033,19761,0.986422,0
83,Benny,Benny\pairs6\83.json,1,Persistence,,,12561,1206,0.096011,0
83,Sigal,Sigal\SIGAL83.json,0,Disappearance,,,32075,19395,0.604677,0
83,Smadar,Smadar\P83 SG.json,0,Disappearance,,,13293,12062,0.907395,0
83,Smadar,Smadar\P83 SG.json,1,Disappearance,,,4145,1206,0.290953,0
84,Avi,Avi\pair 84 avi.json,0,Persistence,,,17501,16175,0.924233,0
84,Benny,Benny\pairs6\84.json,0,Persistence,,,10673,10673,1.000000,0
84,Benny,Benny\pairs6\84.json,1,Persistence,,,5249,3909,0.744713,0
84,Sigal,Sigal\SIGAL84.json,0,Persistence,,,14199,13464,0.948236,0
84,Smadar,Smadar\P84 SG.json,0,Appearance,,,3437,0,0.000000,1
85,Avi,Avi\pair 85 avi.json,0,Disappearance,,,17504,16241,0.927845,0
85,Avi,Avi\pair 85 avi.json,1,Persistence,,,10995,3948,0.359072,0
85,Benny,Benny\pairs6\85.json,0,Persistence,,,15137,14724,0.972716,0
85,Benny,Benny\pairs6\85.json,1,Persistence,,,12865,3948,0.306879,0
85,Sigal,Sigal\SIGAL85.json,0,Disappearance,,,20425,17475,0.855569,0
85,Smadar,Smadar\P85 SG.json,0,Disappearance,,,15127,12384,0.818669,0
86,Avi,Avi\pair 86 avi.json,0,Disappearance,,,13338,1894,0.142000,0
86,Benny,Benny\pairs6\86.json,0,Appearance,,,1813,257,0.141754,0
86,Sigal,Sigal\SIGAL86.json,0,Disappearance,,,9315,0,0.000000,1
86,Smadar,Smadar\P86 SG.json,0,Disappearance,,,3687,1894,0.513697,0
86,Smadar,Smadar\P86 SG.json,1,Persistence,,,6743,257,0.038114,0
87,Avi,Avi\pair 87 avi.json,0,Appearance,,,4370,2841,0.650114,0
87,Benny,Benny\pairs6\87.json,0,Disappearance,,,8779,7374,0.839959,0
87,Benny,Benny\pairs6\87.json,1,Persistence,,,16007,2841,0.177485,0
87,Sigal,Sigal\SIGAL87.json,0,Disappearance,,,1,0,0.000000,1
87,Sigal,Sigal\SIGAL87.json,1,Disappearance,,,8505,5525,0.649618,0
87,Smadar,Smadar\P87 SG.json,0,Disappearance,,,2091,244,0.116691,0
87,Smadar,Smadar\P87 SG.json,1,Persistence,,,5169,4108,0.794738,0
88,Avi,Avi\pair 88 avi.json,0,Disappearance,,,13705,13393,0.977235,0
88,Benny,Benny\pairs6\88.json,0,Persistence,,,9809,8164,0.832297,0
88,Sigal,Sigal\SIGAL88.json,0,Disappearance,,,11375,3630,0.319121,0
88,Sigal,Sigal\SIGAL88.json,1,Persistence,,,19341,17427,0.901039,0
88,Smadar,Smadar\P88 SG.json,0,Disappearance,,,3630,3630,1.000000,0
88,Smadar,Smadar\P88 SG.json,1,Persistence,,,17417,16960,0.973761,0
89,Avi,Avi\pair 89 avi.json,0,Disappearance,,,3516,3516,1.000000,0
89,Benny,Benny\pairs6\89.json,0,Disappearance,,,1404,1404,1.000000,0
89,Benny,Benny\pairs6\89.json,1,Appearance,,,10701,3706,0.346323,0
89,Sigal,Sigal\SIGAL89.json,0,Disappearance,,,12561,8086,0.643739,0
89,Smadar,Smadar\P89 SG.json,0,Disappearance,,,8671,4437,0.511706,0
90,Avi,Avi\pair 90 avi.json,0,Persistence,,,10708,9906,0.925103,0
90,Benny,Benny\pairs6\90.json,0,Persistence,,,13581,3802,0.279950,0
90,Benny,Benny\pairs6\90.json,1,Appearance,,,6531,2171,0.332415,0
90,Sigal,Sigal\SIGAL90.json,0,Persistence,,,17011,13386,0.786903,0
90,Smadar,Smadar\P90 SG.json,0,Appearance,,,5633,0,0.000000,1
90,Smadar,Smadar\P90 SG.json,1,Appearance,,,5391,2171,0.402708,0
91,Avi,Avi\pair 91 avi.json,0,Appearance,,,14465,10091,0.697615,0
91,Avi,Avi\pair 91 avi.json,1,Appearance,,,5876,4480,0.762423,0
91,Avi,Avi\pair 91 avi.json,2,Disappearance,,,2416,311,0.128725,0
91,Benny,Benny\pairs7\91.json,0,Appearance,,,17493,15387,0.879609,0
91,Benny,Benny\pairs7\91.json,1,Persistence,,,3499,0,0.000000,1
91,Benny,Benny\pairs7\91.json,2,Persistence,,,2699,0,0.000000,1
91,Benny,Benny\pairs7\91.json,3,Appearance,,,7155,4480,0.626136,0
91,Sigal,Sigal\SIGAL91.json,0,Appearance,,,20057,17169,0.856010,0
91,Sigal,Sigal\SIGAL91.json,1,Appearance,,,7137,4097,0.574051,0
91,Smadar,Smadar\P91 SG.json,0,Appearance,,,15635,14269,0.912632,0
91,Smadar,Smadar\P91 SG.json,1,Appearance,,,15457,4097,0.265058,0
92,Benny,Benny\pairs7\92.json,0,Appearance,,,11691,0,0.000000,1
92,Benny,Benny\pairs7\92.json,1,Disappearance,,,19443,0,0.000000,1
92,Benny,Benny\pairs7\92.json,2,Appearance,,,8413,0,0.000000,1
92,Benny,Benny\pairs7\92.json,3,Persistence,,,6325,0,0.000000,1
92,Benny,Benny\pairs7\92.json,4,Persistence,,,13005,1822,0.140100,0
92,Sigal,Sigal\SIGAL92.json,0,Persistence,,,12789,6456,0.504809,0
92,Smadar,Smadar\P92 SG.json,0,Persistence,,,5655,5634,0.996286,0
93,Avi,Avi\pair 93 avi.json,0,Appearance,,,10600,10600,1.000000,0
93,Avi,Avi\pair 93 avi.json,1,Appearance,,,8461,8461,1.000000,0
93,Benny,Benny\pairs7\93.json,0,Persistence,,,5711,0,0.000000,1
93,Benny,Benny\pairs7\93.json,1,Appearance,,,40003,39151,0.978702,0
93,Benny,Benny\pairs7\93.json,2,Appearance,,,10587,10587,1.000000,0
93,Benny,Benny\pairs7\93.json,3,Persistence,,,3211,2487,0.774525,0
93,Sigal,Sigal\SIGAL93.json,0,Appearance,,,20053,19996,0.997158,0
