pair,num_persons,total_annotated_pixels_union,shared_pixels_count_ge_2,max_overlap_count,overlap_histogram,isolated_ellipses_count
30,5,123248,40720,4,1:82528;2:21884;3:8813;4:10023,0
31,5,96218,42824,5,1:53394;2:17910;3:6976;4:8512;5:9426,0
32,5,61605,21310,4,1:40295;2:7342;3:7264;4:6704,2
33,5,95066,67748,3,1:27318;2:25856;3:41892,2
34,5,170394,89205,5,1:81189;2:52702;3:33517;4:2866;5:120,0
35,5,87925,6651,3,1:81274;2:5879;3:772,3
36,5,60507,25907,4,1:34600;2:14094;3:10670;4:1143,1
37,5,102892,6737,3,1:96155;2:6546;3:191,5
38,5,69706,27762,3,1:41944;2:24121;3:3641,2
39,5,74294,17268,3,1:57026;2:16824;3:444,0
40,5,98499,37506,3,1:60993;2:31290;3:6216,0
41,5,113465,34539,4,1:78926;2:23246;3:5965;4:5328,1
42,5,29437,14510,4,1:14927;2:9749;3:4598;4:163,1
43,5,95863,36241,3,1:59622;2:16020;3:20221,1
44,5,68256,16573,5,1:51683;2:9449;3:3512;4:2285;5:1327,1
45,5,59674,41076,5,1:18598;2:12646;3:8250;4:7904;5:12276,1
46,5,110403,21779,3,1:88624;2:13534;3:8245,3
47,5,146007,87757,5,1:58250;2:49223;3:22552;4:10263;5:5719,0
48,5,126935,54795,5,1:72140;2:37324;3:9938;4:7350;5:183,0
49,5,59619,29198,5,1:30421;2:14727;3:8635;4:4974;5:862,0
50,5,91715,35127,3,1:56588;2:30088;3:5039,1
51,5,62816,18903,5,1:43913;2:6409;3:8332;4:3004;5:1158,2
52,5,143196,84873,5,1:58323;2:25980;3:16953;4:16849;5:25091,0
53,5,157067,92065,5,1:65002;2:24296;3:34320;4:21702;5:11747,0
54,5,60198,19983,5,1:40215;2:12321;3:4984;4:2443;5:235,2
55,5,270728,75795,4,1:194933;2:48620;3:17436;4:9739,0
56,5,68282,30201,5,1:38081;2:6734;3:5206;4:10441;5:7820,0
57,5,123706,42962,4,1:80744;2:15819;3:12626;4:14517,2
58,5,125208,56357,4,1:68851;2:26813;3:16964;4:12580,0
59,5,60227,20612,3,1:39615;2:15778;3:4834,0
60,5,33184,6278,3,1:26906;2:3638;3:2640,2
